181176;QMB-0274;29/01/2018;94.174;05:32:32;17:26:12
181176;QMB-0274;30/01/2018;85.403;04:32:48;18:44:55
181176;QMB-0274;31/01/2018;89.072;04:41:46;17:27:44
181176;QMB-0274;01/02/2018;85.804;05:08:15;18:06:27
181176;QMB-0274;02/02/2018;87.276;04:41:12;18:38:33
181176;QMB-0274;03/02/2018;0.150;00:03:05;22:50:37
181176;QMB-0274;04/02/2018;0.000;00:00:00;23:00:00
;;;441.879;24:39:38;136:14:28;

181173;QMB-0266;29/01/2018;42.405;02:00:53;21:00:01
181173;QMB-0266;30/01/2018;105.351;04:26:31;17:41:06
181173;QMB-0266;31/01/2018;100.665;04:14:46;19:35:06
181173;QMB-0266;01/02/2018;96.664;04:18:10;17:52:32
181173;QMB-0266;02/02/2018;132.647;05:12:17;18:06:21
181173;QMB-0266;03/02/2018;54.920;02:57:08;19:53:27
181173;QMB-0266;04/02/2018;0.000;00:00:00;23:00:00
;;;532.652;23:09:45;137:08:33;

181167;QMB-0277;29/01/2018;38.285;01:53:44;20:55:49
181167;QMB-0277;30/01/2018;41.047;02:21:37;21:02:45
181167;QMB-0277;31/01/2018;35.635;02:01:52;20:48:15
181167;QMB-0277;01/02/2018;35.830;01:56:53;20:50:56
181167;QMB-0277;02/02/2018;129.136;06:08:19;17:29:35
181167;QMB-0277;03/02/2018;6.724;00:38:50;23:09:36
181167;QMB-0277;04/02/2018;0.000;00:00:00;23:00:00
;;;286.657;15:01:15;147:16:56;

141249;LRK-4195;29/01/2018;0.000;00:00:00;17:01:39
141249;LRK-4195;30/01/2018;0.000;00:00:00;00:34:12
141249;LRK-4195;31/01/2018;0.000;00:00:00;13:22:00
141249;LRK-4195;01/02/2018;0.000;00:00:00;23:00:00
141249;LRK-4195;02/02/2018;0.000;00:00:00;23:00:00
141249;LRK-4195;03/02/2018;0.000;00:00:00;23:00:00
141249;LRK-4195;04/02/2018;0.000;00:00:00;23:00:00
;;;0.000;00:00:00;122:57:51;

181169;QMB-0256;29/01/2018;46.243;02:46:32;20:21:59
181169;QMB-0256;30/01/2018;81.510;05:26:58;17:26:19
181169;QMB-0256;31/01/2018;45.142;02:48:01;19:32:23
181169;QMB-0256;01/02/2018;46.591;03:11:10;19:42:30
181169;QMB-0256;02/02/2018;46.174;02:48:26;20:56:58
181169;QMB-0256;03/02/2018;0.000;00:00:00;23:00:00
181169;QMB-0256;04/02/2018;0.000;00:00:00;23:00:00
;;;265.660;17:01:07;144:00:09;

141250;LRK-4193;29/01/2018;43.777;01:48:09;21:30:27
